symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
LAZR,"Luminar Technologies, Inc.",25.83,0.8,+3.20%,3.152M,9.897M,8.367B,,9897000,8367000000
APA,APA Corporation,22.09,0.46,+2.13%,4.752M,9.112M,8.347B,,9112000,8347000000
CIB,Bancolombia S.A.,34.60,0.51,+1.50%,"128,027","237,590",8.32B,,237590,8320000000
JNPR,"Juniper Networks, Inc.",25.27,0.58,+2.37%,4.512M,4.897M,8.295B,32.82,4897000,8295000000
DLAKY,Deutsche Lufthansa AG,14.51,0.11,+0.73%,"24,050","49,816",8.287B,2.61,49816,8287000000
SMAR,Smartsheet Inc.,67.68,3.88,+6.09%,"287,817",1.082M,8.274B,,1082000,8273999999
CLF,Cleveland-Cliffs Inc.,16.58,0.61,+3.85%,9.869M,17.726M,8.274B,,17726000,8273999999
CIEN,Ciena Corporation,53.16,2.31,+4.54%,1.412M,1.606M,8.248B,23.43,1606000,8247999999
ARES,Ares Management Corporation,55.05,1.37,+2.55%,"295,025","653,211",8.232B,63.13,653211,8231999999
VOYA-PB,"Voya Financial, Inc.",26.93,0.38,+1.43%,"32,454","31,947",8.201B,7.87,31947,8201000000
SC,Santander Consumer USA Holdings Inc.,26.79,-0.03,-0.11%,"164,148","984,966",8.201B,9.34,984966,8201000000
WES,"Western Midstream Partners, LP",19.85,-0.25,-1.24%,1.226M,1.829M,8.199B,16.77,1829000,8199000000
FCNCA,"First Citizens BancShares, Inc.",842.09,24.26,+2.97%,"41,270","51,788",8.198B,17.73,51788,8198000000
SCI,Service Corporation International,48.31,1.1,+2.34%,"653,258","888,985",8.184B,16.77,888985,8183999999
RNR,RenaissanceRe Holdings Ltd.,161.17,-1.98,-1.21%,"172,784","384,806",8.174B,10.53,384806,8173999999
ASND,Ascendis Pharma A/S,151.30,7.31,+5.08%,"62,586","182,516",8.132B,,182516,8132000000
ALK,"Alaska Air Group, Inc.",65.29,-1.1,-1.65%,1.097M,1.868M,8.111B,,1868000,8111000000
GFI,Gold Fields Limited,9.34,0.23,+2.56%,5.284M,6.363M,8.109B,11.38,6363000,8109000000
CRZBY,Commerzbank AG,6.45,-0.09,-1.30%,"3,627","33,488",8.099B,8.12,33488,8099000000
XLRN,Acceleron Pharma Inc.,133.37,4.43,+3.44%,"133,970","357,493",8.076B,,357493,8076000000
CPRI,Capri Holdings Limited,53.46,-0.4,-0.74%,"897,969",3.209M,8.075B,,3209000,8074999999
PHYS,Sprott Physical Gold Trust,13.56,-0.02,-0.18%,"992,328",2.38M,8.075B,,2380000,8074999999
BC,Brunswick Corporation,103.79,4.88,+4.93%,"575,435","727,740",8.073B,22.20,727740,8073000000
IIVI,II-VI Incorporated,76.83,3.74,+5.11%,1.053M,1.521M,8.049B,42.85,1521000,8048999999
SPCE,"Virgin Galactic Holdings, Inc.",33.91,3.32,+10.85%,11.655M,20.786M,8.035B,,20786000,8035000000
ANGI,ANGI Homeservices Inc.,16.07,0.41,+2.59%,"504,119",2.619M,8.033B,,2619000,8032999999
VIR,"Vir Biotechnology, Inc.",62.84,16.02,+34.22%,7.551M,1.809M,8.033B,,1809000,8032999999
CONE,CyrusOne Inc.,66.59,1.11,+1.70%,"320,277","839,041",8.021B,190.80,839041,8021000000
JEF,Jefferies Financial Group Inc.,32.06,0.04,+0.12%,"699,073",2.36M,8.015B,12.09,2360000,8015000000
WFG,West Fraser Timber Co. Ltd.,65.27,0.68,+1.06%,"97,085","56,260",8.011B,,56260,8010999999
G,Genpact Limited,42.52,0.03,+0.07%,"356,504",1.206M,8B,27.08,1206000,8000000000
AIZ,"Assurant, Inc.",137.96,-0.78,-0.56%,"251,856","474,460",7.988B,19.73,474460,7988000000
GCPEF,GCL-Poly Energy Holdings Limited,0.3200,0.025,+8.47%,"43,287","764,728",7.981B,32.00,764728,7981000000
KRC,Kilroy Realty Corporation,68.54,-0.29,-0.42%,"340,816",1.205M,7.976B,42.05,1205000,7976000000
TIXT,TELUS International (Cda) Inc.,29.49,1.49,+5.32%,"58,834",1.163M,7.974B,,1163000,7974000000
BERY,"Berry Global Group, Inc.",59.39,-0.92,-1.53%,"842,093","968,278",7.958B,12.52,968278,7958000000
CAE,CAE Inc.,28.12,0.31,+1.11%,"495,656","413,613",7.95B,28.12,413613,7950000000
PSHZF,"Pershing Square Holdings, Ltd.",36.83,0.12,+0.34%,"67,479","79,828",7.942B,3.98,79828,7942000000
BCCLF,"Becle, S.A.B. de C.V.",2.2200,0.045,+2.07%,101,"31,224",7.937B,32.65,31224,7937000000
VOYA,"Voya Financial, Inc.",63.90,-0.6,-0.93%,"376,732",1.257M,7.911B,,1257000,7911000000
SHC,Sotera Health Company,27.95,0.18,+0.65%,1.028M,"855,171",7.907B,,855171,7907000000
EHC,Encompass Health Corporation,79.58,0.75,+0.94%,"328,755","609,178",7.9B,27.94,609178,7900000000
TRGP,Targa Resources Corp.,34.47,0.07,+0.20%,"685,733",1.936M,7.882B,,1936000,7882000000
DNLI,Denali Therapeutics Inc.,65.11,6.57,+11.21%,"316,944","672,363",7.877B,103.34,672363,7877000000
RDFN,Redfin Corporation,76.30,6.86,+9.88%,1.297M,1.986M,7.875B,,1986000,7875000000
LZRFY,Localiza Rent a Car S.A.,10.60,3.1,+41.33%,"86,906","49,286",7.85B,43.80,49286,7850000000
BEPC,Brookfield Renewable Corporation,45.58,1.98,+4.53%,"737,900",1.032M,7.838B,,1032000,7838000000
NDGPF,Nine Dragons Paper (Holdings) Limited,1.6450,0.0,0.00%,50,"39,113",7.822B,6.45,39113,7822000000
ARW,"Arrow Electronics, Inc.",104.78,0.79,+0.76%,"171,507","512,521",7.817B,14.10,512521,7817000000
OSK,Oshkosh Corporation,114.21,0.19,+0.17%,"151,018","876,008",7.81B,24.67,876008,7810000000
IAA,"IAA, Inc.",57.98,0.65,+1.13%,"392,239","840,223",7.801B,39.85,840223,7801000000
MANH,"Manhattan Associates, Inc.",122.23,3.17,+2.66%,"133,623","340,828",7.799B,89.88,340828,7799000000
GGB,Gerdau S.A.,4.9950,0.275,+5.83%,9.066M,6.333M,7.792B,60.18,6333000,7792000000
PBCT,"People's United Financial, Inc.",18.30,-0.17,-0.92%,1.467M,5.61M,7.787B,37.42,5610000,7787000000
ICL,ICL Group Ltd,6.04,-0.02,-0.33%,"101,501","159,941",7.785B,671.11,159941,7785000000
NFE,New Fortress Energy Inc.,44.57,1.44,+3.34%,"137,177","547,070",7.783B,,547070,7783000000
COG,Cabot Oil & Gas Corporation,19.47,0.28,+1.46%,2.257M,5.896M,7.777B,38.94,5896000,7777000000
ACDVF,Air Canada,23.27,0.52,+2.29%,"66,783","223,093",7.767B,20.48,223093,7767000000
VAC,Marriott Vacations Worldwide Corporation,188.40,3.15,+1.70%,"170,595","464,006",7.762B,,464006,7762000000
FOUR,"Shift4 Payments, Inc.",95.94,13.15,+15.88%,2.041M,"822,323",7.728B,,822323,7728000000
SITE,"SiteOne Landscape Supply, Inc.",173.88,3.28,+1.92%,"115,847","311,080",7.712B,63.23,311080,7712000000
SYNH,"Syneos Health, Inc.",74.31,1.55,+2.13%,"203,975","919,053",7.705B,40.61,919053,7705000000
DCI,"Donaldson Company, Inc.",61.06,-0.08,-0.13%,"73,919","466,726",7.701B,31.97,466726,7701000000
PFGC,Performance Food Group Company,57.29,-0.26,-0.45%,"268,281","770,170",7.662B,,770170,7662000000
MBT,Mobile TeleSystems Public Joint Stock Company,8.66,0.19,+2.24%,1.908M,3.371M,7.651B,71.57,3371000,7651000000
NNN,"National Retail Properties, Inc.",43.56,0.58,+1.36%,"588,467",1.18M,7.636B,35.71,1180000,7636000000
APPS,"Digital Turbine, Inc.",85.34,9.45,+12.45%,4.146M,3.982M,7.631B,207.14,3982000,7631000000
LSPD,Lightspeed POS Inc.,64.36,6.21,+10.68%,"734,454","692,580",7.63B,,692580,7630000000
TPX,"Tempur Sealy International, Inc.",37.14,0.39,+1.06%,"807,369",2.138M,7.627B,22.65,2138000,7627000000
BLDP,Ballard Power Systems Inc.,25.70,2.21,+9.41%,7.583M,7.145M,7.614B,,7145000,7614000000
THO,"Thor Industries, Inc.",137.38,3.49,+2.60%,"310,544","781,651",7.606B,19.60,781651,7606000000
ATDRY,Auto Trader Group plc,1.9950,0.041,+2.10%,"97,062","169,966",7.606B,32.18,169966,7606000000
AIZP,"Assurant, Inc.",129.82,-0.52,-0.40%,595,"52,301",7.604B,18.56,52301,7604000000
WMS,"Advanced Drainage Systems, Inc.",107.26,-0.49,-0.45%,"325,842","469,226",7.602B,44.56,469226,7602000000
HII,"Huntington Ingalls Industries, Inc.",188.37,0.51,+0.27%,"136,214","391,898",7.594B,10.99,391898,7594000000
ITT,ITT Inc.,87.37,0.23,+0.26%,"200,189","424,826",7.558B,105.77,424826,7558000000
AER,AerCap Holdings N.V.,57.95,4.56,+8.54%,3.378M,1.447M,7.557B,,1447000,7557000000
ARWR,"Arrowhead Pharmaceuticals, Inc.",72.62,3.0,+4.30%,"328,301","901,251",7.538B,,901251,7538000000
OMF,"OneMain Holdings, Inc.",55.96,1.89,+3.50%,"700,184",1.246M,7.518B,10.34,1246000,7518000000
CUBE,CubeSmart,37.63,0.05,+0.13%,"171,322",1.258M,7.515B,44.27,1258000,7515000000
KNX,Knight-Swift Transportation Holdings Inc.,45.36,0.8,+1.79%,1.14M,1.814M,7.514B,18.90,1814000,7514000000
KCDMY,"Kimberly-Clark de México, S. A. B. de C. V.",8.44,0.05,+0.54%,"9,479","60,920",7.512B,24.13,60920,7512000000
IONS,"Ionis Pharmaceuticals, Inc.",53.29,1.51,+2.92%,"328,400",1.085M,7.507B,,1085000,7507000000
MSTR,MicroStrategy Incorporated,782.34,25.79,+3.41%,"277,781",1.076M,7.5B,,1076000,7500000000
CASY,"Casey's General Stores, Inc.",202.88,-1.58,-0.77%,"105,946","266,173",7.496B,22.67,266173,7496000000
VRT,Vertiv Holdings Co,21.28,0.66,+3.17%,2.142M,4.199M,7.48B,,4199000,7480000000
BMRRY,B&M European Value Retail S.A.,29.91,0.21,+0.71%,"10,490","66,144",7.434B,26.80,66144,7434000000
PVH,PVH Corp.,104.14,-1.22,-1.16%,"248,285","949,033",7.404B,,949033,7404000000
TRIP,"TripAdvisor, Inc.",54.85,3.05,+5.90%,3.726M,3.467M,7.396B,,3467000,7396000000
DXC,DXC Technology Company,28.97,-0.03,-0.12%,"835,615",3.236M,7.374B,,3236000,7374000000
MNSO,MINISO Group Holding Limited,24.24,-0.02,-0.08%,"633,314",1.158M,7.368B,,1158000,7368000000
WWD,"Woodward, Inc.",116.86,-0.94,-0.80%,"130,817","271,105",7.367B,32.94,271105,7367000000
TX,Ternium S.A.,37.47,0.86,+2.35%,"495,869","496,278",7.356B,9.45,496278,7356000000
AVAL,Grupo Aval Acciones y Valores S.A.,6.59,0.07,+1.07%,"145,447","123,561",7.342B,8.67,123561,7342000000
JSAIY,J Sainsbury plc,13.30,0.04,+0.30%,"6,398","30,471",7.339B,19.79,30471,7339000000
TCF,TCF Financial Corporation,48.07,-0.16,-0.33%,"284,598",1.384M,7.336B,34.34,1384000,7336000000
CNXC,Concentrix Corporation,140.87,5.12,+3.78%,"96,585","227,390",7.328B,,227390,7328000000
DADA,Dada Nexus Limited,31.12,1.63,+5.54%,1.067M,2.133M,7.325B,,2133000,7325000000
MAT,"Mattel, Inc.",21.03,0.23,+1.11%,1.197M,2.798M,7.322B,58.42,2798000,7322000000
LECO,"Lincoln Electric Holdings, Inc.",122.48,1.13,+0.93%,"48,580","246,461",7.307B,35.81,246461,7307000000
PFPT,"Proofpoint, Inc.",127.17,0.9,+0.71%,"194,357","644,651",7.299B,,644651,7299000000
OSCR,"Oscar Health, Inc.",35.90,-0.87,-2.37%,"871,578",7.404M,7.292B,,7404000,7292000000
TTEK,"Tetra Tech, Inc.",134.32,1.21,+0.91%,"173,091","355,120",7.284B,41.09,355120,7284000000
PB,"Prosperity Bancshares, Inc.",78.28,0.88,+1.13%,"242,185","446,675",7.274B,13.78,446675,7274000000
MP,MP Materials Corp.,42.46,3.16,+8.03%,3.499M,5.227M,7.248B,,5227000,7248000000
FNMAS,Federal National Mortgage Association,5.72,0.01,+0.18%,"190,959",1.89M,7.24B,"1,906.70",1890000,7240000000
RCM,R1 RCM Inc.,27.73,1.0,+3.74%,"446,862",1.026M,7.239B,84.80,1026000,7239000000
BYD,Boyd Gaming Corporation,64.70,3.82,+6.27%,"870,404",1.144M,7.237B,,1144000,7237000000
OVV,Ovintiv Inc.,27.89,0.57,+2.09%,1.204M,3.457M,7.234B,,3457000,7234000000
FLIR,"FLIR Systems, Inc.",54.78,0.19,+0.35%,1.985M,2.38M,7.189B,34.24,2380000,7189000000
CFR,"Cullen/Frost Bankers, Inc.",113.62,1.0,+0.89%,"154,590","427,906",7.177B,22.24,427906,7177000000
UTHR,United Therapeutics Corporation,160.87,1.19,+0.75%,"85,464","335,391",7.166B,13.94,335391,7166000000
SNV,Synovus Financial Corp.,48.14,0.23,+0.48%,"328,388","930,786",7.156B,20.93,930786,7156000000
AZEK,The AZEK Company Inc.,46.22,1.3,+2.89%,"407,013",1.251M,7.152B,,1251000,7152000000
HRC,"Hill-Rom Holdings, Inc.",107.75,2.95,+2.81%,1.131M,"434,630",7.151B,29.84,434630,7151000000
DIFTY,"Daito Trust Construction Co.,Ltd.",26.33,-0.49,-1.83%,"4,186","52,650",7.146B,10.04,52650,7146000000
JBL,Jabil Inc.,47.53,2.2,+4.85%,"786,768","950,750",7.138B,34.29,950750,7138000000
SGFY,"Signify Health, Inc.",30.52,2.4,+8.55%,"308,283",1.822M,7.137B,,1822000,7137000000
SEE,Sealed Air Corporation,45.94,-0.91,-1.94%,"688,692",1.126M,7.117B,14.26,1126000,7117000000
EXEL,"Exelixis, Inc.",22.80,0.59,+2.66%,"579,806",2.408M,7.113B,65.14,2408000,7113000000
RGLD,"Royal Gold, Inc.",108.36,0.93,+0.87%,"181,638","479,323",7.109B,28.00,479323,7109000000
CHE,Chemed Corporation,443.08,10.15,+2.34%,"29,023","101,383",7.104B,22.75,101383,7104000000
TOL,"Toll Brothers, Inc.",57.51,-0.03,-0.05%,1.456M,1.838M,7.081B,15.17,1838000,7081000000
MTZ,"MasTec, Inc.",95.29,-0.48,-0.50%,"393,018","770,358",7.071B,21.76,770358,7071000000
PLNT,"Planet Fitness, Inc.",81.65,-0.12,-0.15%,"434,198",1.435M,7.067B,,1435000,7067000000
AXTA,Axalta Coating Systems Ltd.,30.18,0.03,+0.12%,1.128M,2.655M,7.062B,58.38,2655000,7062000000
FFIN,"First Financial Bankshares, Inc.",49.63,0.64,+1.31%,"207,524","448,665",7.06B,34.95,448665,7060000000
CHNG,Change Healthcare Inc.,22.94,0.18,+0.79%,1.147M,5.43M,7.032B,,5430000,7032000000
TGTX,"TG Therapeutics, Inc.",49.94,3.3,+7.08%,"876,541",1.828M,7.021B,,1828000,7021000000
RTMVY,Rightmove plc,16.28,0.25,+1.56%,"16,515","46,883",7.019B,37.00,46883,7019000000
IVPAF,Ivanhoe Mines Ltd.,5.81,-0.28,-4.60%,"436,645","167,701",7.006B,,167701,7006000000
AN,"AutoNation, Inc.",85.19,-1.95,-2.24%,"569,410","718,600",7.005B,19.82,718600,7005000000
LPL,"LG Display Co., Ltd.",9.77,0.14,+1.51%,"379,315","663,376",6.964B,,663376,6964000000
SF,Stifel Financial Corp.,66.33,0.94,+1.44%,"181,113","665,460",6.963B,15.94,665460,6963000000
CD,Chindata Group Holdings Limited,19.36,0.84,+4.54%,"409,361",1.315M,6.955B,,1315000,6955000000
PAA,"Plains All American Pipeline, L.P.",9.63,-0.13,-1.33%,2.872M,5.54M,6.953B,,5540000,6953000000
TWST,Twist Bioscience Corporation,142.79,16.35,+12.93%,"556,838","930,558",6.946B,,930558,6946000000
HBI,Hanesbrands Inc.,19.89,0.03,+0.15%,1.46M,5.708M,6.938B,,5708000,6938000000
ADT,ADT Inc.,8.40,0.47,+5.86%,3.532M,4.345M,6.938B,,4345000,6938000000
BMRPF,B&M European Value Retail S.A.,7.20,-0.26,-3.49%,"1,482","35,122",6.923B,25.81,35122,6923000000
COLM,Columbia Sportswear Company,104.16,0.65,+0.63%,"161,072","329,190",6.915B,64.30,329190,6915000000
PSXP,Phillips 66 Partners LP,30.92,-0.16,-0.51%,"619,166",1.109M,6.897B,9.46,1109000,6897000000
EXPI,"eXp World Holdings, Inc.",49.48,3.58,+7.80%,1.737M,2.154M,6.895B,286.01,2154000,6895000000
SRPT,"Sarepta Therapeutics, Inc.",86.75,2.24,+2.65%,"343,313",2.139M,6.89B,,2139000,6890000000
CCIV,Churchill Capital Corp IV,26.56,1.86,+7.55%,18.368M,48.024M,6.874B,,48024000,6874000000
KOD,Kodiak Sciences Inc.,134.24,7.35,+5.79%,"145,406","304,233",6.868B,,304233,6868000000
PNFP,"Pinnacle Financial Partners, Inc.",90.37,0.58,+0.65%,"75,571","419,396",6.867B,22.42,419396,6867000000
TFII,TFI International Inc.,73.67,2.63,+3.70%,"81,399","227,446",6.864B,,227446,6864000000
GTBIF,Green Thumb Industries Inc.,32.19,1.38,+4.46%,"612,746","734,146",6.843B,,734146,6843000000
OCFT,"OneConnect Financial Technology Co., Ltd.",17.52,1.23,+7.55%,"183,357","554,636",6.833B,,554636,6833000000
WOOF,"Petco Health and Wellness Company, Inc.",22.58,1.09,+5.07%,"758,216",4.273M,6.819B,,4273000,6819000000
STWD,"Starwood Property Trust, Inc.",23.89,0.26,+1.10%,"992,475",2.346M,6.819B,20.63,2346000,6819000000
XEC,Cimarex Energy Co.,66.27,1.75,+2.71%,"415,912",1.318M,6.813B,,1318000,6813000000
GEAGY,GEA Group Aktiengesellschaft,37.74,-0.01,-0.03%,"287,349","37,779",6.81B,26.92,37779,6810000000
PACB,"Pacific Biosciences of California, Inc.",35.19,3.11,+9.69%,2.099M,5.725M,6.795B,207.00,5725000,6795000000
BLD,TopBuild Corp.,205.58,3.31,+1.64%,"92,850","299,205",6.788B,27.71,299205,6788000000
DOOO,BRP Inc.,77.16,3.14,+4.24%,"17,696","78,763",6.781B,41.48,78763,6781000000
SHTDY,"Sinopharm Group Co., Ltd.",11.40,0.12,+1.05%,"5,226","68,183",6.762B,7.98,68183,6762000000
AACAY,AAC Technologies Holdings Inc.,5.50,0.16,+3.00%,"12,045","97,675",6.735B,9.65,97675,6735000000
PAG,"Penske Automotive Group, Inc.",83.70,0.27,+0.32%,"140,991","308,088",6.729B,12.41,308088,6729000000
COTY,Coty Inc.,8.77,0.02,+0.17%,4.081M,13.701M,6.721B,,13701000,6721000000
FSV,FirstService Corporation,153.46,2.57,+1.70%,"180,099","47,115",6.708B,75.97,47115,6708000000
HFC,HollyFrontier Corporation,41.28,0.31,+0.76%,"759,540",2.569M,6.704B,,2569000,6704000000
TXRH,"Texas Roadhouse, Inc.",96.19,1.04,+1.09%,"672,137","797,531",6.697B,213.76,797531,6697000000
BL,"BlackLine, Inc.",115.89,1.56,+1.37%,1.327M,"702,536",6.697B,,702536,6697000000
BSMX,"Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México",5.04,0.06,+1.20%,"125,103","288,893",6.681B,25.85,288893,6681000000
NKLA,Nikola Corporation,16.99,0.99,+6.19%,7.062M,15.483M,6.659B,,15483000,6659000000
TUIFY,TUI AG,2.9940,0.004,+0.13%,"18,872","94,358",6.651B,4.13,94358,6651000000
FSR,Fisker Inc.,23.98,-0.47,-1.90%,8.596M,17.284M,6.647B,,17284000,6647000000
AIRC,Apartment Income REIT Corp.,42.71,0.15,+0.35%,"281,816",1.742M,6.646B,,1742000,6646000000
LITE,Lumentum Holdings Inc.,87.79,2.82,+3.32%,"608,434",1.79M,6.646B,36.04,1790000,6646000000
FRPT,"Freshpet, Inc.",154.07,6.35,+4.30%,"96,237","338,098",6.646B,,338098,6646000000
NCNO,"nCino, Inc.",71.91,4.95,+7.39%,"603,042",1.275M,6.637B,,1275000,6637000000
NXST,"Nexstar Media Group, Inc.",152.88,1.04,+0.68%,"99,465","464,636",6.633B,8.80,464636,6633000000
DKS,"DICK'S Sporting Goods, Inc.",73.96,2.43,+3.39%,1.424M,1.996M,6.626B,12.93,1996000,6626000000
TMX,"Terminix Global Holdings, Inc.",50.24,1.74,+3.59%,"382,179","617,120",6.625B,,617120,6625000000
ALLK,Allakos Inc.,124.70,4.54,+3.78%,"96,442","318,148",6.624B,,318148,6624000000
GWPH,GW Pharmaceuticals plc,215.01,-0.12,-0.06%,"344,866","958,906",6.617B,,958906,6617000000
BRLAF,British Land Company Plc,7.08,0.0,0.00%,18,"37,258",6.599B,25.82,37258,6599000000
POST,"Post Holdings, Inc.",102.44,-0.01,-0.01%,"105,697","431,861",6.594B,,431861,6594000000
BOKF,BOK Financial Corporation,94.71,0.45,+0.48%,"69,484","233,696",6.59B,15.30,233696,6590000000
ORI,Old Republic International Corporation,21.66,0.03,+0.12%,"828,498",2.062M,6.587B,11.58,2061999,6587000000
PAAS,Pan American Silver Corp.,31.37,0.31,+1.00%,1.348M,3.53M,6.586B,37.04,3530000,6586000000
LFUS,"Littelfuse, Inc.",267.35,4.54,+1.73%,"31,158","112,798",6.56B,50.54,112798,6560000000
LMND,"Lemonade, Inc.",106.83,12.76,+13.56%,3.743M,4.228M,6.547B,,4228000,6547000000
RYKKY,"Ryohin Keikaku Co., Ltd.",24.98,0.39,+1.59%,"3,094","25,813",6.545B,9.74,25813,6545000000
TSRYY,Treasury Wine Estates Limited,9.02,0.24,+2.73%,"13,720","63,323",6.529B,24.78,63323,6529000000
LSI,"Life Storage, Inc.",86.34,1.04,+1.22%,"157,892","672,625",6.515B,40.54,672625,6515000000
BTLCY,British Land Company Plc,7.00,0.09,+1.23%,"2,296","79,536",6.515B,25.55,79536,6515000000
SLAB,Silicon Laboratories Inc.,148.13,6.28,+4.43%,"128,866","331,026",6.507B,529.04,331026,6507000000
LEG,"Leggett & Platt, Incorporated",48.83,-0.49,-1.00%,"454,277",1.043M,6.493B,26.83,1042999,6493000000
API,"Agora, Inc.",65.44,6.41,+10.86%,"782,369",1.905M,6.493B,,1905000,6493000000
CCJ,Cameco Corporation,16.39,0.28,+1.77%,1.723M,6.223M,6.482B,,6223000,6482000000
NOV,NOV Inc.,16.60,-0.16,-0.95%,1.706M,5.172M,6.444B,,5172000,6444000000
WH,"Wyndham Hotels & Resorts, Inc.",69.03,1.12,+1.65%,"318,017","769,568",6.432B,,769568,6432000000
NVST,Envista Holdings Corporation,40.06,0.32,+0.81%,"607,242",1.428M,6.413B,25.07,1428000,6413000000
FNMFN,Federal National Mortgage Association,8.80,0.05,+0.57%,"103,101","42,351",6.407B,"2,933.33",42351,6407000000
MSA,MSA Safety Incorporated,163.87,-1.45,-0.88%,"32,145","122,670",6.406B,53.73,122670,6406000000
HUN,Huntsman Corporation,28.97,0.37,+1.29%,"832,132",1.628M,6.402B,6.21,1628000,6402000000
OGE,OGE Energy Corp.,31.98,-0.15,-0.46%,"486,594",1.282M,6.397B,,1282000,6397000000
GRUB,Grubhub Inc.,68.60,1.52,+2.27%,"482,059",1.553M,6.397B,,1553000,6397000000
FNMAT,Federal National Mortgage Association,4.8300,0.05,+1.05%,"86,300","278,602",6.391B,"1,610.00",278602,6391000000
HQY,"HealthEquity, Inc.",76.85,0.4,+0.52%,"197,825","937,141",6.372B,"1,707.78",937141,6372000000
CDK,"CDK Global, Inc.",52.25,0.93,+1.81%,"244,207","690,393",6.362B,28.08,690393,6362000000
CACC,Credit Acceptance Corporation,377.99,-23.15,-5.77%,"219,444","148,310",6.357B,16.11,148310,6357000000
SSB,South State Corporation,89.42,1.51,+1.72%,"137,220","310,143",6.352B,40.83,310143,6352000000
REXR,"Rexford Industrial Realty, Inc.",48.31,0.62,+1.29%,"200,147","705,211",6.349B,95.09,705211,6349000000
FNMAJ,Federal National Mortgage Association,4.6000,0.07,+1.55%,"14,095","42,473",6.349B,"1,533.33",42473,6349000000
BRKS,"Brooks Automation, Inc.",85.23,5.11,+6.38%,"185,029","891,350",6.326B,81.48,891350,6326000000
FAF,First American Financial Corporation,57.44,0.96,+1.70%,"516,235","768,686",6.31B,9.32,768686,6310000000
DQ,Daqo New Energy Corp.,90.55,12.17,+15.53%,2.414M,3.003M,6.292B,53.33,3003000,6292000000
SRCL,"Stericycle, Inc.",68.56,-0.09,-0.13%,"109,086","384,545",6.281B,,384545,6281000000
GMED,"Globus Medical, Inc.",62.92,-0.15,-0.24%,"145,966","521,480",6.274B,62.30,521480,6274000000
AUOTY,AU Optronics Corp.,6.57,0.02,+0.31%,"97,776","232,743",6.27B,,232743,6270000000
SLM,SLM Corporation,17.20,0.76,+4.62%,2.465M,5.778M,6.255B,7.64,5778000,6255000000
HUYA,HUYA Inc.,26.57,1.56,+6.24%,"614,645",3.466M,6.252B,,3466000,6252000000
FNMAH,Federal National Mortgage Association,4.3900,0.14,+3.29%,"105,997","44,555",6.248B,"1,463.33",44555,6248000000
LSTR,"Landstar System, Inc.",162.69,0.38,+0.23%,"80,755","290,368",6.245B,32.69,290368,6245000000
RBA,Ritchie Bros. Auctioneers Incorporated,56.71,1.84,+3.35%,"325,988","752,361",6.227B,36.82,752361,6227000000
QTWO,"Q2 Holdings, Inc.",111.95,3.56,+3.28%,"370,127","540,591",6.224B,,540591,6224000000
TKR,The Timken Company,82.14,1.99,+2.48%,"291,538","617,565",6.218B,22.08,617565,6218000000
INGR,Ingredion Incorporated,92.58,1.18,+1.29%,"117,956","551,420",6.213B,17.98,551420,6213000000
FNMAI,Federal National Mortgage Association,4.5000,-0.1,-2.17%,"15,867","28,464",6.206B,"1,500.00",28464,6206000000
REYN,Reynolds Consumer Products Inc.,29.52,0.36,+1.23%,"186,390","536,736",6.19B,20.95,536736,6190000000
MDU,"MDU Resources Group, Inc.",30.87,-0.41,-1.31%,"375,590",1.006M,6.19B,15.86,1006000,6190000000
WSC,WillScot Mobile Mini Holdings Corp.,27.35,0.69,+2.61%,"757,448",1.597M,6.19B,66.72,1597000,6190000000
SON,Sonoco Products Company,61.56,-1.13,-1.81%,"214,967","430,621",6.184B,30.03,430621,6184000000
ARD,Ardagh Group S.A.,26.15,0.26,+1.00%,"40,255","116,071",6.181B,176.69,116071,6181000000
VRNS,"Varonis Systems, Inc.",180.99,11.95,+7.07%,"233,727","531,043",6.179B,,531043,6179000000
EME,"EMCOR Group, Inc.",112.66,0.82,+0.73%,"119,391","260,015",6.173B,46.94,260015,6173000000
COHR,"Coherent, Inc.",251.40,4.35,+1.76%,"235,075","475,493",6.146B,,475493,6146000000
PPC,Pilgrim's Pride Corporation,25.16,0.24,+0.94%,"158,478","658,316",6.126B,65.34,658316,6126000000
BRX,Brixmor Property Group Inc.,20.63,0.12,+0.59%,1.079M,2.381M,6.122B,50.69,2381000,6122000000
YETI,"YETI Holdings, Inc.",70.22,2.42,+3.57%,"617,554",1.442M,6.121B,39.67,1442000,6121000000
YETI,"YETI Holdings, Inc.",70.22,2.42,+3.57%,"617,553",1.442M,6.121B,39.67,1442000,6121000000
JBLU,JetBlue Airways Corporation,19.36,-0.54,-2.72%,6.051M,9.178M,6.118B,,9178000,6118000000
AMG,"Affiliated Managers Group, Inc.",143.53,2.64,+1.87%,"237,158","446,095",6.118B,33.15,446095,6118000000
GBCI,"Glacier Bancorp, Inc.",64.06,0.59,+0.93%,"114,576","363,445",6.113B,22.81,363445,6113000000
PSTG,"Pure Storage, Inc.",22.79,1.51,+7.10%,3.996M,5.201M,6.113B,,5201000,6113000000
BPOP,"Popular, Inc.",72.44,0.28,+0.39%,"320,476","543,043",6.104B,12.34,543043,6104000000
